release,tracer,z_eff,observable,value,sigma,covariance_block,paired_observable,correlation_coefficient,primary_likelihood,source_table,source_url,notes
desi_dr2_bao_2025,BGS,0.295,DV_over_rd,7.942,0.075,DESI_DR2_BGS_DV,,,true,DESI DR2 Results II Table IV,https://arxiv.org/abs/2503.14738,isotropic BAO point; no AP component used
desi_dr2_bao_2025,LRG1,0.510,DM_over_rd,13.588,0.167,DESI_DR2_LRG1_DM_DH,DH_over_rd,-0.459,true,DESI DR2 Results II Table IV,https://arxiv.org/abs/2503.14738,anisotropic BAO transverse distance
desi_dr2_bao_2025,LRG1,0.510,DH_over_rd,21.863,0.425,DESI_DR2_LRG1_DM_DH,DM_over_rd,-0.459,true,DESI DR2 Results II Table IV,https://arxiv.org/abs/2503.14738,anisotropic BAO radial Hubble distance
desi_dr2_bao_2025,LRG2,0.706,DM_over_rd,17.351,0.177,DESI_DR2_LRG2_DM_DH,DH_over_rd,-0.404,true,DESI DR2 Results II Table IV,https://arxiv.org/abs/2503.14738,anisotropic BAO transverse distance
desi_dr2_bao_2025,LRG2,0.706,DH_over_rd,19.455,0.330,DESI_DR2_LRG2_DM_DH,DM_over_rd,-0.404,true,DESI DR2 Results II Table IV,https://arxiv.org/abs/2503.14738,anisotropic BAO radial Hubble distance
desi_dr2_bao_2025,LRG3_PLUS_ELG1,0.934,DM_over_rd,21.576,0.152,DESI_DR2_LRG3_ELG1_DM_DH,DH_over_rd,-0.416,true,DESI DR2 Results II Table IV,https://arxiv.org/abs/2503.14738,anisotropic BAO combined-bin transverse distance
desi_dr2_bao_2025,LRG3_PLUS_ELG1,0.934,DH_over_rd,17.641,0.193,DESI_DR2_LRG3_ELG1_DM_DH,DM_over_rd,-0.416,true,DESI DR2 Results II Table IV,https://arxiv.org/abs/2503.14738,anisotropic BAO combined-bin radial Hubble distance
desi_dr2_bao_2025,ELG2,1.321,DM_over_rd,27.601,0.318,DESI_DR2_ELG2_DM_DH,DH_over_rd,-0.434,true,DESI DR2 Results II Table IV,https://arxiv.org/abs/2503.14738,anisotropic BAO transverse distance
desi_dr2_bao_2025,ELG2,1.321,DH_over_rd,14.176,0.221,DESI_DR2_ELG2_DM_DH,DM_over_rd,-0.434,true,DESI DR2 Results II Table IV,https://arxiv.org/abs/2503.14738,anisotropic BAO radial Hubble distance
desi_dr2_bao_2025,QSO,1.484,DM_over_rd,30.512,0.760,DESI_DR2_QSO_DM_DH,DH_over_rd,-0.500,true,DESI DR2 Results II Table IV,https://arxiv.org/abs/2503.14738,anisotropic BAO transverse distance
desi_dr2_bao_2025,QSO,1.484,DH_over_rd,12.817,0.516,DESI_DR2_QSO_DM_DH,DM_over_rd,-0.500,true,DESI DR2 Results II Table IV,https://arxiv.org/abs/2503.14738,anisotropic BAO radial Hubble distance
desi_dr2_bao_2025,Lya,2.330,DM_over_rd,38.988,0.531,DESI_DR2_LYA_DM_DH,DH_over_rd,-0.431,true,DESI DR2 Results II Table IV,https://arxiv.org/abs/2503.14738,Lyman-alpha forest transverse distance
desi_dr2_bao_2025,Lya,2.330,DH_over_rd,8.632,0.101,DESI_DR2_LYA_DM_DH,DM_over_rd,-0.431,true,DESI DR2 Results II Table IV,https://arxiv.org/abs/2503.14738,Lyman-alpha forest radial Hubble distance
