index,tracer,z_eff,observable,value,sigma
0,BGS,0.295,DV_over_rd,7.94167639,0.0760919632419
1,LRG_z0,0.51,DM_over_rd,13.58758434,0.168366784729
2,LRG_z0,0.51,DH_over_rd,21.86294686,0.42886832478
3,LRG_z1,0.706,DM_over_rd,17.35069094,0.179931220748
4,LRG_z1,0.706,DH_over_rd,19.45534918,0.333870031599
5,LRGplusELG,0.934,DM_over_rd,21.57563956,0.161781586097
6,LRGplusELG,0.934,DH_over_rd,17.64149464,0.201043248581
7,ELG,1.321,DM_over_rd,27.60085612,0.324555875005
8,ELG,1.321,DH_over_rd,14.17602155,0.22455135092
9,QSO,1.484,DM_over_rd,30.51190063,0.763557644844
10,QSO,1.484,DH_over_rd,12.81699964,0.518011769171
11,Lya,2.33,DH_over_rd,8.63154567485,0.101062452968
12,Lya,2.33,DM_over_rd,38.988973962,0.531682028096
