z,cs2,delta_ratio
0.000,0.97946,0.00000
0.015,0.97731,0.00343
0.030,0.97494,0.00676
0.045,0.97233,0.00999
0.060,0.96945,0.01311
0.075,0.96629,0.01613
0.090,0.96281,0.01904
0.106,0.95898,0.02183
0.121,0.95478,0.02451
0.136,0.95017,0.02706
0.151,0.94512,0.02949
0.166,0.93960,0.03180
0.181,0.93355,0.03398
0.196,0.92694,0.03603
0.211,0.91974,0.03795
0.226,0.91189,0.03973
0.241,0.90336,0.04139
0.256,0.89409,0.04291
0.271,0.88405,0.04430
0.286,0.87320,0.04556
0.302,0.86148,0.04670
0.317,0.84887,0.04770
0.332,0.83534,0.04859
0.347,0.82084,0.04935
0.362,0.80537,0.05000
0.377,0.78891,0.05054
0.392,0.77144,0.05098
0.407,0.75299,0.05132
0.422,0.73356,0.05156
0.437,0.71319,0.05173
0.452,0.69191,0.05181
0.467,0.66978,0.05183
0.482,0.64687,0.05180
0.497,0.62327,0.05171
0.513,0.59907,0.05158
0.528,0.57438,0.05141
0.543,0.54931,0.05122
0.558,0.52399,0.05102
0.573,0.49854,0.05080
0.588,0.47310,0.05057
0.603,0.44780,0.05035
0.618,0.42277,0.05013
0.633,0.39813,0.04993
0.648,0.37399,0.04973
0.663,0.35046,0.04956
0.678,0.32764,0.04941
0.693,0.30561,0.04928
0.709,0.28443,0.04918
0.724,0.26416,0.04910
0.739,0.24484,0.04905
0.754,0.22650,0.04902
0.769,0.20915,0.04902
0.784,0.19280,0.04904
0.799,0.17745,0.04908
0.814,0.16306,0.04915
0.829,0.14963,0.04924
0.844,0.13713,0.04936
0.859,0.12552,0.04949
0.874,0.11476,0.04964
0.889,0.10481,0.04980
0.905,0.09563,0.04998
0.920,0.08717,0.05018
0.935,0.07940,0.05038
0.950,0.07227,0.05060
0.965,0.06573,0.05083
0.980,0.05974,0.05107
0.995,0.05427,0.05132
1.010,0.04928,0.05157
1.025,0.04472,0.05183
1.040,0.04056,0.05210
1.055,0.03678,0.05237
1.070,0.03334,0.05264
1.085,0.03020,0.05292
1.101,0.02736,0.05320
1.116,0.02478,0.05348
1.131,0.02243,0.05376
1.146,0.02030,0.05405
1.161,0.01837,0.05433
1.176,0.01662,0.05462
1.191,0.01504,0.05491
1.206,0.01360,0.05519
1.221,0.01230,0.05547
1.236,0.01112,0.05576
1.251,0.01006,0.05604
1.266,0.00909,0.05632
1.281,0.00822,0.05660
1.296,0.00743,0.05688
1.312,0.00671,0.05715
1.327,0.00607,0.05743
1.342,0.00548,0.05770
1.357,0.00495,0.05797
1.372,0.00448,0.05824
1.387,0.00404,0.05850
1.402,0.00365,0.05877
1.417,0.00330,0.05903
