z,H_obs,sigma_H,source
0.07,69.0,19.6,CC_Moresco2022
0.09,69.0,12.0,CC_Moresco2022
0.12,68.6,26.2,CC_Moresco2022
0.17,83.0,8.0,CC_Moresco2022
0.179,75.0,4.0,CC_Moresco2022
0.199,75.0,5.0,CC_Moresco2022
0.2,72.9,29.6,CC_Moresco2022
0.27,77.0,14.0,CC_Moresco2022
0.28,88.8,36.6,CC_Moresco2022
0.352,83.0,14.0,CC_Moresco2022
0.38,83.0,13.5,CC+BAO_BOSS
0.4,95.0,17.0,CC_Moresco2022
0.44,82.6,7.8,CC_Moresco2022
0.48,97.0,62.0,CC_Moresco2022
0.51,90.4,1.9,CC+BAO_BOSS
0.57,96.8,3.4,CC+BAO_BOSS
0.593,104.0,13.0,CC_Moresco2022
0.6,87.9,6.1,CC_Moresco2022
0.61,97.3,2.1,CC+BAO_BOSS
0.68,92.0,8.0,CC_Moresco2022
0.73,97.3,7.0,CC_Moresco2022
0.781,105.0,12.0,CC_Moresco2022
0.875,125.0,17.0,CC_Moresco2022
0.88,90.0,40.0,CC_Moresco2022
0.9,117.0,23.0,CC_Moresco2022
1.037,154.0,20.0,CC_Moresco2022
1.3,168.0,17.0,CC_Moresco2022
1.363,160.0,33.6,CC_Moresco2022
1.43,177.0,18.0,CC_Moresco2022
1.53,140.0,14.0,CC_Moresco2022
1.75,202.0,40.0,CC_Moresco2022
1.965,186.5,50.4,CC_Moresco2022
2.34,222.0,7.0,BAO_Lya
