model,H0,chi2_hz,chi2_bao,chi2_total,n_params,aic,bic
lcdm,64.0,45.821780876678616,621.335013518611,667.1567943952897,3,673.1567943952897,678.642718584757
lcdm,64.5,39.76909921534583,477.0871922263034,516.8562914416492,3,522.8562914416492,528.3422156311165
lcdm,65.0,34.63429669080812,354.1579981430531,388.7922948338612,3,394.7922948338612,400.2782190233285
lcdm,65.5,30.41737330306538,251.62516577284012,282.0425390759055,3,288.0425390759055,293.5284632653728
lcdm,66.0,27.118329052117698,168.60743052503966,195.72575957715736,3,201.72575957715736,207.21168376662465
lcdm,66.5,24.737163937965008,104.2625002848918,128.9996642228568,3,134.9996642228568,140.4855884123241
lcdm,67.0,23.273877960607322,57.785139454278244,81.05901741488557,3,87.05901741488557,92.54494160435286
lcdm,67.5,22.72847112004466,28.405358517045624,51.13382963709029,3,57.13382963709029,62.61975382655757
lcdm,68.0,23.100943416276998,15.38670265656041,38.48764607283741,3,44.48764607283741,49.97357026230469
lcdm,68.5,24.391294849304394,18.024633391701023,42.41592824100542,3,48.41592824100542,53.9018524304727
lcdm,69.0,26.59952541912677,35.64499760304693,62.2445230221737,3,68.2445230221737,73.73044721164099
lcdm,69.5,29.725635125744155,67.60257869709164,97.3282138228358,3,103.3282138228358,108.81413801230309
lcdm,70.0,33.7696239691566,113.2797250046467,147.04934897380332,3,153.04934897380332,158.5352731632706
lcdm,70.5,38.73149194936401,172.0850508327623,210.8165427821263,3,216.8165427821263,222.3024669715936
lcdm,71.0,44.61123906636648,243.45220588929686,288.06344495566333,3,294.06344495566333,299.54936914513064
lcdm,71.5,51.408865320163954,326.83870907759814,378.2475743977621,3,384.2475743977621,389.7334985872294
lcdm,72.0,59.12437071075644,421.72484291735833,480.84921362811474,3,486.84921362811474,492.33513781758205
lcdm,72.5,67.75775523814386,527.6126050878155,595.3703603259594,3,601.3703603259594,606.8562845154266
lcdm,73.0,77.30901890232641,644.0247138130555,721.333732715382,3,727.333732715382,732.8196569048492
lcdm,73.5,87.77816170330397,770.5036640167083,858.2818257200122,3,864.2818257200122,869.7677499094794
lcdm,74.0,99.16518364107647,906.6108313671257,1005.7760150082022,3,1011.7760150082022,1017.2619391976694
rll,64.0,47.6491374239639,443.4946604988088,491.1437979227727,6,503.1437979227727,514.1156463017073
rll,64.5,43.4684362217856,334.80827738412563,378.27671360591125,6,390.27671360591125,401.2485619848458
rll,65.0,40.23441577246629,246.37157803055547,286.60599380302176,6,298.60599380302176,309.5778421819563
rll,65.5,37.94707607600603,177.29863597192002,215.24571204792605,6,227.24571204792605,238.21756042686062
rll,66.0,36.606417132404815,126.74306781120207,163.34948494360688,6,175.34948494360688,186.32133332254145
rll,66.5,36.21243894166259,93.89607290412191,130.1085118457845,6,142.1085118457845,153.08036022471907
rll,67.0,36.76514150377947,77.98458187180759,114.74972337558705,6,126.74972337558705,137.72157175452162
rll,67.5,38.26452481875531,78.26950721590565,116.53403203466095,6,128.53403203466095,139.50588041359552
rll,68.0,40.710588886590195,94.04408976860167,134.75467865519187,6,146.75467865519187,157.72652703412643
rll,68.5,44.10333370728405,124.63233513457028,168.73566884185433,6,180.73566884185433,191.7075172207889
rll,69.0,48.442759280837,169.38753467506376,217.83029395590077,6,229.83029395590077,240.80214233483534
rll,69.5,53.728865607249034,227.6908659486353,281.4197315558843,6,293.4197315558843,304.3915799348189
rll,70.0,59.961652686520026,298.95006786049385,358.9117205470139,6,370.9117205470139,381.88356892594845
rll,70.5,67.14112051865006,382.5981860856284,449.73930660427845,6,461.73930660427845,472.711154983213
rll,71.0,75.26726910363911,478.09238462118515,553.3596537248243,6,565.3596537248243,576.3315021037589
rll,71.5,84.34009844148714,584.9128195933897,669.2529180348769,6,681.2529180348769,692.2247664138115
rll,72.0,94.3596085321943,702.561571694612,796.9211802268063,6,808.9211802268063,819.8930286057409
rll,72.5,105.3257993757604,830.5616338589357,935.8874332346961,6,947.8874332346961,958.8592816136307
rll,73.0,117.23867097218552,968.455951001087,1085.6946219732724,6,1097.6946219732724,1108.666470352207
rll,73.5,130.09822332146976,1115.806508844682,1245.9047321661517,6,1257.9047321661517,1268.8765805450862
rll,74.0,143.90445642361294,1272.1934690531907,1416.0979254768035,6,1428.0979254768035,1439.069773855738
