z,H_obs,sigma_H,source,H_lcdm,H_rll,H_z,pull_lcdm,pull_rll,input_status
0.07,69.0,19.6,CC_Moresco2022,72.32436111020961,72.32835085181252,72.32835085181252,0.16961026072498,0.16981381897002631,real_non_synthetic
0.09,69.0,12.0,CC_Moresco2022,73.03213422870785,73.03772914061398,73.03772914061398,0.33601118572565386,0.336477428384498,real_non_synthetic
0.12,68.6,26.2,CC_Moresco2022,74.12991406982744,74.13840298378322,74.13840298378322,0.21106542251249777,0.2113894268619553,real_non_synthetic
0.17,83.0,8.0,CC_Moresco2022,76.05505315230539,76.06992794221736,76.06992794221736,-0.8681183559618262,-0.8662590072228298,real_non_synthetic
0.179,75.0,4.0,CC_Moresco2022,76.41414632337391,76.43041339791031,76.43041339791031,0.3535365808434783,0.35760334947757855,real_non_synthetic
0.199,75.0,5.0,CC_Moresco2022,77.22573981859934,77.24540458275052,77.24540458275052,0.4451479637198673,0.4490809165501048,real_non_synthetic
0.2,72.9,29.6,CC_Moresco2022,77.26681046866112,77.28665668796907,77.28665668796907,0.1475273806980106,0.148197861080036,real_non_synthetic
0.27,77.0,14.0,CC_Moresco2022,80.25660726694096,80.2923484722557,80.2923484722557,0.23261480478149718,0.23516774801826404,real_non_synthetic
0.28,88.8,36.6,CC_Moresco2022,80.7020039404227,80.74060144875824,80.74060144875824,-0.22125672293927043,-0.22020214620879114,real_non_synthetic
0.352,83.0,14.0,CC_Moresco2022,84.04076109698197,84.10537872008318,84.10537872008318,0.0743400783558548,0.07895562286308433,real_non_synthetic
0.38,83.0,13.5,CC+BAO_BOSS,85.40061966988294,85.47839003264467,85.47839003264467,0.17782367925058834,0.18358444686256803,real_non_synthetic
0.4,95.0,17.0,CC_Moresco2022,86.39259227503247,86.48098003235441,86.48098003235441,-0.5063181014686782,-0.5011188216262112,real_non_synthetic
0.44,82.6,7.8,CC_Moresco2022,88.42735142477129,88.5403966167772,88.5403966167772,0.7470963365091402,0.7615893098432317,real_non_synthetic
0.48,97.0,62.0,CC_Moresco2022,90.52863767891351,90.67149016838589,90.67149016838589,-0.10437681163042722,-0.10207273921958247,real_non_synthetic
0.51,90.4,1.9,CC+BAO_BOSS,92.14737093373853,92.31639845321988,92.31639845321988,0.9196689124939595,1.008630764852563,real_non_synthetic
0.57,96.8,3.4,CC+BAO_BOSS,95.49210810323542,95.72466827802118,95.72466827802118,-0.38467408728369806,-0.31627403587612146,real_non_synthetic
0.593,104.0,13.0,CC_Moresco2022,96.81135284557281,97.07262992933664,97.07262992933664,-0.5529728580328606,-0.5328746208202583,real_non_synthetic
0.6,87.9,6.1,CC_Moresco2022,97.21687096384044,97.48740213158877,97.48740213158877,1.5273558957115458,1.5717052674735674,real_non_synthetic
0.61,97.3,2.1,CC+BAO_BOSS,97.79940219653696,98.0835812435309,98.0835812435309,0.237810569779506,0.3731339254909065,real_non_synthetic
0.68,92.0,8.0,CC_Moresco2022,101.98136614107501,102.37590462068955,102.37590462068955,1.2476707676343768,1.2969880775861942,real_non_synthetic
0.73,97.3,7.0,CC_Moresco2022,105.07732386200173,105.56750032648189,105.56750032648189,1.111046266000248,1.181071475211699,real_non_synthetic
0.781,105.0,12.0,CC_Moresco2022,108.3255091622929,108.92824407512974,108.92824407512974,0.2771257635244086,0.32735367292747836,real_non_synthetic
0.875,125.0,17.0,CC_Moresco2022,114.54231273311187,115.39139295689961,115.39139295689961,-0.6151580745228311,-0.5652121790059054,real_non_synthetic
0.88,90.0,40.0,CC_Moresco2022,114.88110305877115,115.74461668152178,115.74461668152178,0.6220275764692786,0.6436154170380444,real_non_synthetic
0.9,117.0,23.0,CC_Moresco2022,116.24426867592224,117.16675403031356,117.16675403031356,-0.03285788365555467,0.007250175231024143,real_non_synthetic
1.037,154.0,20.0,CC_Moresco2022,125.91596022708954,127.28675170954787,127.28675170954787,-1.4042019886455228,-1.3356624145226064,real_non_synthetic
1.3,168.0,17.0,CC_Moresco2022,145.99825341421038,148.3185405606767,148.3185405606767,-1.2942203873993894,-1.1577329081954886,real_non_synthetic
1.363,160.0,33.6,CC_Moresco2022,151.0822154857745,153.6247251655326,153.6247251655326,-0.26541025339956853,-0.18974032245438704,real_non_synthetic
1.43,177.0,18.0,CC_Moresco2022,156.59787128182808,159.37029388796827,159.37029388796827,-1.1334515954539957,-0.9794281173350959,real_non_synthetic
1.53,140.0,14.0,CC_Moresco2022,165.03207927551543,168.13447678984284,168.13447678984284,1.7880056625368164,2.009605484988774,real_non_synthetic
1.75,202.0,40.0,CC_Moresco2022,184.3947023371333,188.17408001791557,188.17408001791557,-0.44013244157166725,-0.34564799955211073,real_non_synthetic
1.965,186.5,50.4,CC_Moresco2022,204.32081079456884,208.71915942454555,208.71915942454555,0.3535875157652548,0.4408563377886022,real_non_synthetic
2.34,222.0,7.0,BAO_Lya,241.25041944004985,246.695118543928,246.695118543928,2.750059920007122,3.5278740777040007,real_non_synthetic
