z_eff,DV_over_rs,sigma,survey,z,bao_obs,bao_lcdm,bao_rll,pull_lcdm,pull_rll,input_status
0.106,2.976,0.133,6dFGS,0.106,2.976,2.985589809521988,2.9854114723250413,0.07210383099239233,0.07076294981234105,real_non_synthetic
0.15,4.466,0.168,SDSS_MGS,0.15,4.466,4.163992063546726,4.163586801452372,-1.7976662884123489,-1.8000785627835034,real_non_synthetic
0.32,8.467,0.167,BOSS_DR12_LOWZ,0.32,8.467,8.371983853350592,8.369039628639353,-0.5689589619725053,-0.5865890500637582,real_non_synthetic
0.51,13.36,0.21,DESI2024_BGS,0.51,13.36,12.438737470622968,12.42675466423947,-4.386964425604912,-4.444025408383476,real_non_synthetic
0.57,13.773,0.134,BOSS_DR12_CMASS,0.57,13.773,13.591350449049317,13.574236858591057,-1.355593663811064,-1.4833070254398715,real_non_synthetic
0.706,16.85,0.32,DESI2024_LRG1,0.706,16.85,15.989069844891956,15.954697525423914,-2.6904067347126412,-2.7978202330502744,real_non_synthetic
0.93,21.71,0.28,DESI2024_LRG2,0.93,21.71,19.35859668468623,19.27665384445721,-8.397868983263468,-8.690521984081391,real_non_synthetic
1.317,27.79,0.69,DESI2024_ELG,1.317,27.79,23.830698799412776,23.63530510755781,-5.7381176820104685,-6.021296945568393,real_non_synthetic
1.491,30.21,0.79,DESI2024_QSO,1.491,30.21,25.414042666228486,25.170481118464913,-6.070832068065209,-6.379137824727959,real_non_synthetic
2.33,36.31,1.3,BOSS_Lya,2.33,36.31,30.6830357984797,30.27781683851555,-4.328434001169462,-4.640140893449577,real_non_synthetic
