model,H0,omega_m,omega_s0,zt,wt,w0,wa,chi2_hz,chi2_bao,chi2_total,n_params,aic,bic
lcdm,64.0,0.315,,,,,,45.821780876678616,621.335013518611,667.1567943952897,3,673.1567943952897,678.642718584757
lcdm,64.5,0.315,,,,,,39.76909921534583,477.0871922263034,516.8562914416492,3,522.8562914416492,528.3422156311165
lcdm,65.0,0.315,,,,,,34.634296690808135,354.1579981430531,388.7922948338612,3,394.7922948338612,400.2782190233285
lcdm,65.5,0.315,,,,,,30.41737330306538,251.62516577284012,282.0425390759055,3,288.0425390759055,293.5284632653728
lcdm,66.0,0.315,,,,,,27.118329052117698,168.60743052503966,195.72575957715736,3,201.72575957715736,207.21168376662465
lcdm,66.5,0.315,,,,,,24.737163937965008,104.2625002848918,128.9996642228568,3,134.9996642228568,140.4855884123241
lcdm,67.0,0.315,,,,,,23.273877960607322,57.785139454278244,81.05901741488557,3,87.05901741488557,92.54494160435286
lcdm,67.5,0.315,,,,,,22.728471120044656,28.405358517045624,51.13382963709028,3,57.13382963709028,62.61975382655756
lcdm,68.0,0.315,,,,,,23.100943416276998,15.38670265656041,38.48764607283741,3,44.48764607283741,49.97357026230469
lcdm,68.5,0.315,,,,,,24.391294849304394,18.024633391701023,42.41592824100542,3,48.41592824100542,53.9018524304727
lcdm,69.0,0.315,,,,,,26.599525419126767,35.64499760304693,62.244523022173695,3,68.2445230221737,73.73044721164098
lcdm,69.5,0.315,,,,,,29.725635125744155,67.60257869709164,97.3282138228358,3,103.3282138228358,108.81413801230309
lcdm,70.0,0.315,,,,,,33.7696239691566,113.2797250046467,147.04934897380332,3,153.04934897380332,158.5352731632706
lcdm,70.5,0.315,,,,,,38.73149194936401,172.0850508327623,210.8165427821263,3,216.8165427821263,222.3024669715936
lcdm,71.0,0.315,,,,,,44.61123906636648,243.45220588929686,288.06344495566333,3,294.06344495566333,299.54936914513064
lcdm,71.5,0.315,,,,,,51.408865320163954,326.83870907759814,378.2475743977621,3,384.2475743977621,389.7334985872294
lcdm,72.0,0.315,,,,,,59.12437071075644,421.72484291735833,480.84921362811474,3,486.84921362811474,492.33513781758205
lcdm,72.5,0.315,,,,,,67.75775523814383,527.6126050878155,595.3703603259594,3,601.3703603259594,606.8562845154266
lcdm,73.0,0.315,,,,,,77.30901890232641,644.0247138130555,721.333732715382,3,727.333732715382,732.8196569048492
lcdm,73.5,0.315,,,,,,87.77816170330395,770.5036640167083,858.2818257200122,3,864.2818257200122,869.7677499094794
