omega_m,omega_s0,omega_lambda,zt,wt,w0_eff_dark,wa_eff_dark,cpl_w0_reference,cpl_wa_reference,distance_to_cpl_reference,sector_w_z0,status,claim_allowed
0.315,0.0,0.685,1.2,0.35,-1.0,-0.0,-0.3,-1.84,1.968654362756449,-0.9685856289684298,mapped_claim_blocked,False
0.315,0.01,0.675,1.2,0.35,-0.9995413960433348,0.0026443160511258057,-0.3,-1.84,1.9709632772463772,-0.9685856289684298,mapped_claim_blocked,False
0.315,0.02,0.665,1.2,0.35,-0.9990827920866695,0.00528737019611647,-0.3,-1.84,1.9732719601709727,-0.9685856289684298,mapped_claim_blocked,False
0.315,0.03,0.655,1.2,0.35,-0.9986241881300041,0.00792916243386177,-0.3,-1.84,1.975580407276257,-0.9685856289684298,mapped_claim_blocked,False
0.315,0.04,0.645,1.2,0.35,-0.9981655841733389,0.010569692765471927,-0.3,-1.84,1.9778886143325143,-0.9685856289684298,mapped_claim_blocked,False
0.315,0.05,0.635,1.2,0.35,-0.9977069802166737,0.013208961192612279,-0.3,-1.84,1.9801965771326016,-0.9685856289684298,mapped_claim_blocked,False
0.315,0.06,0.625,1.2,0.35,-0.9972483762600084,0.01584696771084193,-0.3,-1.84,1.9825042914855808,-0.9685856289684298,mapped_claim_blocked,False
0.315,0.07,0.615,1.2,0.35,-0.9967897723033431,0.018483712323491552,-0.3,-1.84,1.984811753229573,-0.9685856289684298,mapped_claim_blocked,False
0.315,0.08,0.6050000000000001,1.2,0.35,-0.996331168346678,0.021119195031116256,-0.3,-1.84,1.9871189582217568,-0.9685856289684298,mapped_claim_blocked,False
0.315,0.09,0.5950000000000001,1.2,0.35,-0.9958725643900127,0.023753415831495595,-0.3,-1.84,1.989425902338235,-0.9685856289684298,mapped_claim_blocked,False
0.315,0.1,0.5850000000000001,1.2,0.35,-0.9954139604333475,0.02638637472518468,-0.3,-1.84,1.991732581479103,-0.9685856289684298,mapped_claim_blocked,False
0.315,0.11,0.5750000000000001,1.2,0.35,-0.9949553564766821,0.0290180717116284,-0.3,-1.84,1.9940389915646801,-0.9685856289684298,mapped_claim_blocked,False
0.315,0.12,0.5650000000000001,1.2,0.35,-0.9944967525200169,0.03164850679415743,-0.3,-1.84,1.996345128540065,-0.9685856289684298,mapped_claim_blocked,False
