observable,z,parameter,param_nominal,dp,dO_dp,abs_dO_dp,dlnO_dlnp,sigma_obs,normalized_score,stable,stability_rel_diff,step_reference,step_validation
Hz,0.1,H0,70.0,0.7000000000000001,1.0484750831564833,1.0484750831564833,0.9999999999999976,4.547912097111927,0.23053987429139172,True,9.741816463393349e-15,0.7000000000000001,0.35000000000000003
Hz,0.2,H0,70.0,0.7000000000000001,1.1038115781237372,1.1038115781237372,1.0000000000000062,3.877756879504105,0.28465208429077554,True,1.8305713990176247e-14,0.7000000000000001,0.35000000000000003
Hz,0.4,H0,70.0,0.7000000000000001,1.234179889643333,1.234179889643333,1.0000000000000098,4.7171958398227645,0.26163422752651794,True,2.4648036424836886e-14,0.7000000000000001,0.35000000000000003
Hz,0.6,H0,70.0,0.7000000000000001,1.3888124423405859,1.3888124423405859,1.0000000000000058,4.394736058118728,0.316017258823753,True,1.4709044238310105e-14,0.7000000000000001,0.35000000000000003
Hz,0.8,H0,70.0,0.7000000000000001,1.5651198037211191,1.5651198037211191,1.000000000000007,3.188354695775299,0.4908863514448274,True,2.5820463072715405e-14,0.7000000000000001,0.35000000000000003
Hz,1.0,H0,70.0,0.7000000000000001,1.7606816861659116,1.7606816861659116,1.0000000000000062,4.951244703273511,0.3556038514925021,True,2.295254071981557e-14,0.7000000000000001,0.35000000000000003
Hz,1.5,H0,70.0,0.7000000000000001,2.321098877687047,2.321098877687047,1.0000000000000067,4.522279403980706,0.5132586181304755,True,1.7410769737059498e-14,0.7000000000000001,0.35000000000000003
Hz,2.0,H0,70.0,0.7000000000000001,2.9664793948382693,2.9664793948382693,1.0000000000000016,4.572128610553907,0.6488180118097956,True,2.7395546904513183e-14,0.7000000000000001,0.35000000000000003
fσ8,0.1,H0,70.0,0.7000000000000001,0.0,0.0,0.0,0.046637543610475,0.0,True,0.0,0.7000000000000001,0.35000000000000003
fσ8,0.3,H0,70.0,0.7000000000000001,0.0,0.0,0.0,0.0319145176831252,0.0,True,0.0,0.7000000000000001,0.35000000000000003
fσ8,0.5,H0,70.0,0.7000000000000001,0.0,0.0,0.0,0.0548289351597774,0.0,True,0.0,0.7000000000000001,0.35000000000000003
fσ8,0.8,H0,70.0,0.7000000000000001,0.0,0.0,0.0,0.0489499319736619,0.0,True,0.0,0.7000000000000001,0.35000000000000003
fσ8,1.0,H0,70.0,0.7000000000000001,0.0,0.0,0.0,0.0527426322025612,0.0,True,0.0,0.7000000000000001,0.35000000000000003
fσ8,1.5,H0,70.0,0.7000000000000001,0.0,0.0,0.0,0.040635779043896,0.0,True,0.0,0.7000000000000001,0.35000000000000003
fσ8,2.0,H0,70.0,0.7000000000000001,0.0,0.0,0.0,0.059120940731847,0.0,True,0.0,0.7000000000000001,0.35000000000000003
Hz,0.1,Om,0.3,0.003,44.431267444792866,44.431267444792866,0.1816158730708916,4.547912097111927,9.769596794319789,True,1.236916504108563e-06,0.003,0.0015
Hz,0.2,Om,0.3,0.003,54.79208413673101,54.79208413673101,0.21273849847453313,3.877756879504105,14.129839966588605,True,1.6971706927485895e-06,0.003,0.0015
Hz,0.4,Om,0.3,0.003,77.81714112217013,77.81714112217013,0.27022157481200854,4.7171958398227645,16.496483030285614,True,2.738260005328536e-06,0.003,0.0015
