z,observable,parameter,sensitivity,abs_sensitivity
0.1,Hz,H0,1.0484750830824956,1.0484750830824956
0.1,fσ8,H0,0.0,0.0
0.2,Hz,H0,1.1038115780462538,1.1038115780462538
0.2,fσ8,H0,0.0,0.0
0.3,Hz,H0,1.165804443208949,1.165804443208949
0.3,fσ8,H0,0.0,0.0
0.4,Hz,H0,1.2341798895567913,1.2341798895567913
0.4,fσ8,H0,0.0,0.0
0.5,Hz,H0,1.3086252327382486,1.3086252327382486
0.5,fσ8,H0,0.0,0.0
0.6,Hz,H0,1.3888124422418926,1.3888124422418926
0.6,fσ8,H0,0.0,0.0
0.8,Hz,H0,1.5651198036110912,1.5651198036110912
0.8,fσ8,H0,0.0,0.0
1.0,Hz,H0,1.7606816860416714,1.7606816860416714
1.0,fσ8,H0,0.0,0.0
1.5,Hz,H0,2.3210988775229597,2.3210988775229597
1.5,fσ8,H0,0.0,0.0
2.0,Hz,H0,2.966479394628814,2.966479394628814
2.0,fσ8,H0,0.0,0.0
0.1,Hz,Om,44.431194027256474,44.431194027256474
0.1,fσ8,Om,0.5259079175759754,0.5259079175759754
0.2,Hz,Om,54.79196001220704,54.79196001220704
0.2,fσ8,Om,0.5163898833278465,0.5163898833278465
0.3,Hz,Om,65.95874660544366,65.95874660544366
0.3,fσ8,Om,0.4961963055525659,0.4961963055525659
0.4,Hz,Om,77.81685693900367,77.81685693900367
0.4,fσ8,Om,0.4686376986223133,0.4686376986223133
0.5,Hz,Om,90.2664850251299,90.2664850251299
0.5,fσ8,Om,0.4366891053745626,0.4366891053745626
0.6,Hz,Om,103.22488171959738,103.22488171959738
0.6,fσ8,Om,0.4027638596866421,0.4027638596866421
0.8,Hz,Om,130.4181315324115,130.4181315324115
0.8,fσ8,Om,0.3356207187410461,0.3356207187410461
1.0,Hz,Om,159.0293141178241,159.0293141178241
1.0,fσ8,Om,0.2754987850026189,0.2754987850026189
1.5,Hz,Om,235.61038621511392,235.61038621511392
1.5,fσ8,Om,0.16681055207218526,0.16681055207218526
2.0,Hz,Om,318.5594371695808,318.5594371695808
2.0,fσ8,Om,0.10477941617805293,0.10477941617805293
0.1,Hz,Ol,33.38181366771406,33.38181366771406
0.1,fσ8,Ol,-0.22538910174584062,0.22538910174584062
0.2,Hz,Ol,31.708310139302824,31.708310139302824
0.2,fσ8,Ol,-0.2213099429405159,0.2213099429405159
0.3,Hz,Ol,30.022187726244194,30.022187726244194
0.3,fσ8,Ol,-0.21265555138625883,0.21265555138625883
0.4,Hz,Ol,28.358912778928335,28.358912778928335
0.4,fσ8,Ol,-0.20084471902656698,0.20084471902656698
0.5,Hz,Ol,26.745625074152027,26.745625074152027
0.5,fσ8,Ol,-0.18715246424398949,0.18715246424398949
0.6,Hz,Ol,25.20138700501278,25.20138700501278
0.6,fσ8,Ol,-0.1726130729741369,0.1726130729741369
0.8,Hz,Ol,22.3625052529555,22.3625052529555
0.8,fσ8,Ol,-0.1438374412840046,0.1438374412840046
1.0,Hz,Ol,19.87866410183609,19.87866410183609
1.0,fσ8,Ol,-0.11807089897148508,0.11807089897148508
1.5,Hz,Ol,15.079064560048405,15.079064560048405
1.5,fσ8,Ol,-0.07149023018630699,0.07149023018630699
2.0,Hz,Ol,11.79849753439687,11.79849753439687
2.0,fσ8,Ol,-0.04490545968490055,0.04490545968490055
0.1,Hz,sigma8,0.0,0.0
0.1,fσ8,sigma8,0.5631141777242656,0.5631141777242656
0.2,Hz,sigma8,0.0,0.0
0.2,fσ8,sigma8,0.6128273483688951,0.6128273483688951
0.3,Hz,sigma8,0.0,0.0
0.3,fσ8,sigma8,0.656863997406662,0.656863997406662
0.4,Hz,sigma8,0.0,0.0
0.4,fσ8,sigma8,0.6952878980744944,0.6952878980744944
0.5,Hz,sigma8,0.0,0.0
0.5,fσ8,sigma8,0.7284058961327128,0.7284058961327128
0.6,Hz,sigma8,0.0,0.0
0.6,fσ8,sigma8,0.7566729421878948,0.7566729421878948
0.8,Hz,sigma8,0.0,0.0
0.8,fσ8,sigma8,0.800782263144059,0.800782263144059
1.0,Hz,sigma8,0.0,0.0
1.0,fσ8,sigma8,0.8318631512717294,0.8318631512717294
1.5,Hz,sigma8,0.0,0.0
1.5,fσ8,sigma8,0.8753491250987655,0.8753491250987655
2.0,Hz,sigma8,0.0,0.0
2.0,fσ8,sigma8,0.8981091936225157,0.8981091936225157
0.1,Hz,gamma,0.0,0.0
0.1,fσ8,gamma,-0.4562197361389286,0.4562197361389286
0.2,Hz,gamma,0.0,0.0
0.2,fσ8,gamma,-0.4189516497792972,0.4189516497792972
0.3,Hz,gamma,0.0,0.0
0.3,fσ8,gamma,-0.3802994132332357,0.3802994132332357
0.4,Hz,gamma,0.0,0.0
0.4,fσ8,gamma,-0.34228716177806057,0.34228716177806057
0.5,Hz,gamma,0.0,0.0
0.5,fσ8,gamma,-0.30624035271300093,0.30624035271300093
0.6,Hz,gamma,0.0,0.0
0.6,fσ8,gamma,-0.2729228287588646,0.2729228287588646
0.8,Hz,gamma,0.0,0.0
0.8,fσ8,gamma,-0.21559464432835188,0.21559464432835188
1.0,Hz,gamma,0.0,0.0
1.0,fσ8,gamma,-0.17032123451881248,0.17032123451881248
1.5,Hz,gamma,0.0,0.0
1.5,fσ8,gamma,-0.09746631845780698,0.09746631845780698
2.0,Hz,gamma,0.0,0.0
2.0,fσ8,gamma,-0.059553735448407495,0.059553735448407495
0.1,Hz,alpha,0.0,0.0
0.1,fσ8,alpha,-0.13086231857461883,0.13086231857461883
0.2,Hz,alpha,0.0,0.0
0.2,fσ8,alpha,-0.16232671467685864,0.16232671467685864
0.3,Hz,alpha,0.0,0.0
0.3,fσ8,alpha,-0.1969801575656185,0.1969801575656185
0.4,Hz,alpha,0.0,0.0
0.4,fσ8,alpha,-0.23445639459618559,0.23445639459618559
0.5,Hz,alpha,0.0,0.0
0.5,fσ8,alpha,-0.2743265674027195,0.2743265674027195
0.6,Hz,alpha,0.0,0.0
0.6,fσ8,alpha,-0.3161077658601932,0.3161077658601932
0.8,Hz,alpha,0.0,0.0
0.8,fσ8,alpha,-0.40323360826765825,0.40323360826765825
1.0,Hz,alpha,0.0,0.0
