z,H_obs,H_model,delta_H,fs8_baseline,fs8_feedback,delta_fs8_pct
0.07,69.0,69.751886,0.751886,0.43232,0.430423,-0.438709
0.09,69.0,70.466408,1.466408,0.432678,0.430709,-0.455056
0.12,68.6,71.574038,2.974038,0.432891,0.430812,-0.480111
0.17,83.0,73.514733,-9.485267,0.432441,0.430178,-0.523284
0.179,75.0,73.876496,-1.123504,0.43226,0.429963,-0.531242
0.199,75.0,74.693869,-0.306131,0.431754,0.429383,-0.549128
0.2,72.9,74.735223,1.835223,0.431725,0.429351,-0.55003
0.27,77.0,77.743344,0.743344,0.428904,0.426267,-0.614863
0.28,88.8,78.191102,-10.608898,0.428382,0.425707,-0.624399
0.352,83.0,81.544766,-1.455234,0.423854,0.420908,-0.695064
0.38,83.0,82.909372,-0.090628,0.421769,0.418718,-0.723483
0.4,95.0,83.904358,-11.095642,0.420182,0.417056,-0.744101
0.44,82.6,85.94417,3.34417,0.416788,0.413511,-0.786125
0.48,97.0,88.049176,-8.950824,0.413133,0.409707,-0.829187
0.51,90.4,89.669804,-0.730196,0.410244,0.406707,-0.862158
0.57,96.8,93.015983,-3.784017,0.404147,0.400389,-0.929804
0.593,104.0,94.334942,-9.665058,0.401715,0.397873,-0.956329
0.6,87.9,94.74028,6.84028,0.400966,0.397099,-0.964466
0.61,97.3,95.322479,-1.977521,0.399889,0.395986,-0.976143
0.68,92.0,99.499637,7.499637,0.392161,0.388006,-1.059573
0.73,97.3,102.589509,5.289509,0.386486,0.382154,-1.120944
0.781,105.0,105.82923,0.82923,0.380612,0.376102,-1.185028
0.875,125.0,112.024566,-12.975434,0.369678,0.364847,-1.306946
0.88,90.0,112.362005,22.362005,0.369095,0.364247,-1.313566
0.9,117.0,113.719558,-3.280442,0.366766,0.36185,-1.340176
1.037,154.0,123.344079,-30.655921,0.350939,0.345577,-1.527975
1.3,168.0,143.296324,-24.703676,0.322019,0.315859,-1.912919
1.363,160.0,148.342127,-11.657873,0.315484,0.309145,-2.009307
1.43,177.0,153.814476,-23.185524,0.30872,0.302196,-2.113359
1.53,140.0,162.179088,22.179088,0.298986,0.292195,-2.271347
1.75,202.0,181.369416,-20.630584,0.279102,0.271767,-2.628241
1.965,186.5,201.104479,14.604479,0.261619,0.253809,-2.985516
2.34,222.0,237.655564,15.655564,0.235239,0.226738,-3.613965
