file,size,title,internal_links,http_links,math_blocks,latex_inline,total_links
relativity-living-light-main/docs/README_HISTORICO_INTEGRAL_47d054c.md,74707,Relativity Living Light,8,2,0,15,10
relativity-living-light-main/docs/README_ROOT_LEGACY_ARCHIVE.md,74707,Relativity Living Light,8,2,0,15,10
relativity-living-light-main/docs/MAPA_RAFAELIA_TOTAL.md,33249,,0,0,0,2,0
relativity-living-light-main/ANALISE_COMPLETA/01_14_Areas_Tematicas_Detalhadas.md,30664,Análise Detalhada das 14 Áreas Temáticas,3,1,0,0,4
relativity-living-light-main/ANALISE_COMPLETA/Catalogo_Completo_Arquivos.md,30197,Catálogo Completo de Arquivos (File-by-File Catalog),7,0,0,0,7
relativity-living-light-main/docs/PLANO_ABCD_JWST_AGN_SMBH.md,27986,"Plano A→B→C→D — Organização de Dados, Documentos e Roteiro Científico",2,0,0,0,2
relativity-living-light-main/docs/BOOSTERS.md,26522,🚀 Boosters do Modelo Relativity Living Light / Boosters of the Relativity Living Light Model,48,0,0,0,48
relativity-living-light-main/book/33_apendice_glossario.md,25982,33. Apêndice — Glossário Consolidado,34,0,0,0,34
relativity-living-light-main/docs/canonicos/06_COMPARACOES_DETALHADAS.md,24127,🔗 COMPARAÇÕES COM LITERATURA 2025-26,0,0,0,0,0
relativity-living-light-main/COMPREHENSIVE_REPOSITORY_ANALYSIS.md,23436,Análise Abrangente do Repositório Relativity Living Light,1,0,0,0,1
relativity-living-light-main/docs/IMPACT_REPORT_MULTI.md,20761,📊 IMPACT_REPORT_MULTI.md,0,0,0,0,0
relativity-living-light-main/docs/canonicos/11_DOCUMENTO_PRIORIDADE.md,16648,🎯 DOCUMENTO DE PRIORIDADE TEMPORAL,0,0,0,0,0
relativity-living-light-main/ANALISE_COMPLETA/Hierarquia_7_Niveis.md,16405,Hierarquia de Informação em 7 Níveis,3,0,0,0,3
relativity-living-light-main/docs/NATURE_ARTICLE_ANALYSIS.md,14965,Analysis: Nature Article s41467-025-63981-3 and Relativity Living Light Model,0,0,0,0,0
relativity-living-light-main/docs/canonicos/10_FAQ_COMPLETO.md,14914,❓ FAQ — PERGUNTAS FREQUENTES,0,0,0,0,0
relativity-living-light-main/ANALISE_COMPLETA/Bibliografia_Completa.md,14733,Bibliografia Completa e Referências Externas,1,17,0,0,18
relativity-living-light-main/REFORM_LOG.md,14606,🔄 REFORM_LOG.md — Log de Reformulação RAFAELIA,0,0,0,0,0
relativity-living-light-main/docs/CONCEPTUAL_FRAMEWORK.md,14549,Conceptual Framework: Laboratory to Cosmos,0,0,0,0,0
relativity-living-light-main/docs/ACADEMIC_TAXONOMY_INDEX.md,13667,ACADEMIC_TAXONOMY_INDEX,37,0,0,0,37
relativity-living-light-main/GOVERNANCE_REORG_DRAFT.md,13655,Repository Audit & Governance Draft Plan (DRAFT),0,0,0,0,0
relativity-living-light-main/ANALISE_COMPLETA/Metricas_Conservadoras.md,13107,Métricas e Avaliações Conservadoras,10,0,0,3,10
